order_id,order_arrival,process_start_time,order_complete_time,station_id
22,300,307,438,picker-5
6,120,258,439,picker-3
34,420,420,488,picker-1
36,420,420,488,picker-1
29,300,300,499,picker-2
35,420,420,510,picker-1
42,480,489,538,picker-1
31,300,481,547,picker-2
41,480,481,569,picker-2
40,480,480,582,picker-1
39,480,480,594,picker-1
38,480,480,615,picker-1
43,540,541,635,picker-2
46,540,541,643,picker-2
49,540,541,646,picker-2
44,540,541,647,picker-2
47,540,541,647,picker-2
45,540,540,654,picker-1
48,540,540,654,picker-1
54,600,602,676,picker-3
55,660,660,725,picker-1
51,600,600,751,picker-1
52,600,600,751,picker-1
57,720,721,785,picker-2
60,720,721,785,picker-2
58,720,720,788,picker-1
53,600,721,811,picker-1
59,720,721,811,picker-2
61,720,721,816,picker-2
56,660,660,824,picker-1
37,480,480,851,picker-1
65,780,780,855,picker-1
62,780,780,855,picker-1
63,780,786,867,picker-2
64,780,786,881,picker-2
70,840,841,889,picker-2
66,840,840,898,picker-1
68,840,840,913,picker-1
69,840,841,931,picker-2
71,900,900,958,picker-1
72,900,900,959,picker-1
74,900,900,991,picker-1
75,900,901,1003,picker-2
77,900,901,1003,picker-2
80,960,962,1023,picker-3
83,960,962,1042,picker-3
82,960,960,1042,picker-1
81,960,960,1048,picker-1
84,960,961,1081,picker-2
85,1020,1021,1097,picker-2
89,1020,1022,1098,picker-3
78,960,1021,1106,picker-2
88,1020,1022,1108,picker-3
86,1020,1022,1109,picker-3
90,1080,1080,1126,picker-1
92,1080,1080,1136,picker-1
91,1080,1082,1146,picker-2
87,1020,1020,1146,picker-1
73,900,900,1148,picker-1
79,960,960,1171,picker-1
94,1140,1140,1214,picker-1
93,1080,1098,1228,picker-2
96,1140,1141,1233,picker-2
95,1140,1140,1235,picker-1
97,1140,1147,1249,picker-1
33,360,1203,1261,picker-1
102,1200,1200,1268,picker-1
107,1200,1202,1275,picker-3
105,1200,1202,1275,picker-3
32,360,1203,1281,picker-2
99,1200,1201,1283,picker-2
106,1200,1202,1289,picker-3
100,1200,1200,1303,picker-1
98,1200,1202,1305,picker-3
101,1200,1202,1305,picker-3
108,1200,1236,1310,picker-1
103,1200,1202,1311,picker-3
104,1200,1202,1311,picker-3
116,1260,1261,1316,picker-2
115,1260,1263,1335,picker-4
50,600,601,1337,picker-2
67,840,840,1345,picker-1
114,1260,1263,1348,picker-4
113,1260,1263,1362,picker-4
76,900,901,1362,picker-2
109,1260,1260,1367,picker-1
117,1260,1263,1374,picker-4
112,1260,1262,1377,picker-1
110,1260,1263,1378,picker-4
118,1320,1320,1441,picker-1
119,1320,1381,1480,picker-2
123,1380,1380,1481,picker-1
126,1440,1440,1499,picker-2
124,1380,1380,1500,picker-1
121,1380,1380,1500,picker-1
129,1500,1502,1566,picker-2
132,1560,1560,1646,picker-2
135,1560,1560,1648,picker-2
140,1620,1621,1689,picker-3
111,1260,1621,1713,picker-3
147,1680,1681,1740,picker-3
143,1680,1680,1746,picker-2
148,1680,1681,1751,picker-3
145,1680,1681,1757,picker-3
142,1680,1680,1760,picker-2
149,1680,1681,1761,picker-3
139,1620,1620,1776,picker-2
138,1620,1620,1776,picker-2
157,1740,1747,1804,picker-2
150,1740,1740,1810,picker-3
154,1740,1742,1819,picker-4
153,1740,1741,1822,picker-3
151,1740,1740,1823,picker-3
162,1800,1800,1849,picker-2
160,1800,1800,1859,picker-2
159,1800,1800,1865,picker-2
161,1800,1801,1874,picker-3
166,1800,1802,1883,picker-4
164,1800,1801,1888,picker-3
170,1860,1860,1939,picker-2
167,1860,1860,1949,picker-2
172,1860,1860,1949,picker-2
169,1860,1861,1955,picker-3
174,1920,1921,1979,picker-3
176,1920,1920,2001,picker-2
177,1920,1921,2021,picker-3
173,1920,1921,2021,picker-3
168,1860,1922,2031,picker-4
184,1980,1981,2032,picker-3
178,1920,1922,2035,picker-4
180,1980,1980,2089,picker-2
187,2040,2040,2100,picker-2
189,2040,2041,2120,picker-3
196,2160,2160,2208,picker-2
197,2160,2161,2220,picker-3
198,2160,2161,2232,picker-3
194,2160,2160,2235,picker-2
199,2160,2161,2249,picker-3
202,2220,2220,2263,picker-2
206,2220,2221,2296,picker-3
208,2280,2280,2363,picker-2
209,2340,2341,2410,picker-3
214,2340,2340,2412,picker-2
213,2340,2364,2433,picker-2
179,1980,1980,2452,picker-2
183,1980,1980,2452,picker-2
211,2340,2401,2487,picker-2
215,2400,2400,2493,picker-3
216,2400,2400,2493,picker-3
219,2400,2411,2517,picker-3
217,2400,2401,2527,picker-4
218,2400,2401,2527,picker-4
226,2460,2460,2551,picker-2
228,2520,2520,2584,picker-2
227,2520,2520,2592,picker-2
233,2580,2580,2639,picker-2
235,2580,2580,2639,picker-2
230,2580,2581,2648,picker-3
231,2580,2581,2680,picker-3
222,2460,2581,2687,picker-3
236,2640,2640,2688,picker-2
239,2700,2700,2770,picker-2
242,2700,2700,2770,picker-2
247,2760,2760,2816,picker-2
249,2820,2820,2902,picker-2
253,2880,2880,2929,picker-2
212,2340,2341,2935,picker-3
254,2880,2880,2944,picker-2
252,2880,2882,2954,picker-4
240,2700,2882,2967,picker-4
256,2880,2880,2976,picker-2
244,2760,2881,2992,picker-3
243,2700,2881,2993,picker-3
248,2760,2881,2993,picker-3
257,2940,2940,3008,picker-2
260,2940,3002,3077,picker-4
262,3000,3000,3089,picker-2
261,3000,3000,3097,picker-2
251,2820,3001,3111,picker-3
258,2940,3001,3111,picker-3
264,3060,3060,3121,picker-2
263,3000,3000,3135,picker-2
267,3060,3061,3143,picker-5
268,3120,3120,3187,picker-2
269,3120,3122,3207,picker-2
271,3120,3120,3214,picker-2
277,3180,3181,3248,picker-5
272,3120,3136,3261,picker-2
274,3180,3180,3268,picker-4
278,3180,3188,3271,picker-2
279,3180,3208,3293,picker-2
275,3180,3181,3294,picker-5
285,3240,3240,3300,picker-2
155,1740,1742,3308,picker-4
282,3240,3269,3313,picker-4
280,3240,3241,3340,picker-5
265,3060,3121,3342,picker-3
266,3060,3121,3342,picker-3
221,2400,2402,3346,picker-5
281,3240,3262,3349,picker-2
283,3240,3272,3359,picker-2
284,3240,3241,3369,picker-5
289,3300,3301,3381,picker-2
288,3300,3300,3387,picker-2
286,3240,3249,3388,picker-5
298,3420,3420,3478,picker-2
294,3420,3420,3496,picker-2
299,3420,3421,3514,picker-3
309,3480,3481,3548,picker-3
307,3480,3483,3556,picker-5
292,3360,3483,3577,picker-5
310,3480,3483,3593,picker-5
314,3540,3578,3638,picker-5
301,3480,3482,3645,picker-4
302,3480,3482,3645,picker-4
320,3540,3557,3655,picker-5
318,3540,3639,3707,picker-5
323,3600,3646,3714,picker-4
311,3480,3497,3728,picker-2
331,3720,3729,3832,picker-2
308,3480,3480,3855,picker-2
316,3540,3540,3857,picker-3
332,3720,3833,3912,picker-2
333,3720,3856,3941,picker-2
342,3840,3858,3942,picker-3
334,3780,3913,3971,picker-2
337,3780,3942,3991,picker-2
339,3840,3944,4017,picker-3
349,3900,3992,4087,picker-2
317,3540,3594,4128,picker-5
321,3540,3646,4131,picker-4
325,3660,3660,4135,picker-5
293,3420,3420,4135,picker-2
297,3420,3420,4135,picker-2
303,3480,3483,4137,picker-5
326,3660,3708,4141,picker-5
346,3900,3972,4142,picker-2
341,3840,4018,4155,picker-3
357,4020,4088,4162,picker-2
313,3540,3549,4162,picker-3
355,4020,4136,4183,picker-2
358,4080,4137,4207,picker-5
336,3780,4132,4210,picker-4
344,3840,4156,4215,picker-3
345,3900,4138,4220,picker-5
330,3660,4129,4220,picker-5
329,3660,3716,4234,picker-4
361,4080,4143,4237,picker-2
354,4020,4163,4240,picker-2
359,4080,4136,4246,picker-2
365,4080,4142,4248,picker-5
362,4080,4184,4257,picker-2
370,4140,4211,4261,picker-4
356,4020,4208,4269,picker-5
347,3900,4164,4278,picker-3
364,4080,4221,4293,picker-5
375,4260,4262,4300,picker-4
351,3960,4221,4303,picker-5
350,3960,4216,4319,picker-3
363,4080,4248,4319,picker-2
372,4200,4238,4337,picker-2
352,3960,4241,4352,picker-2
348,3900,4235,4356,picker-4
353,4020,4279,4357,picker-3
373,4200,4249,4367,picker-5
369,4140,4258,4376,picker-2
376,4260,4294,4379,picker-5
368,4140,4338,4379,picker-2
371,4200,4301,4382,picker-4
377,4260,4353,4404,picker-2
374,4260,4270,4416,picker-5
391,4380,4383,4423,picker-4
367,4140,4320,4436,picker-2
366,4140,4321,4441,picker-3
383,4320,4358,4458,picker-3
378,4260,4304,4459,picker-5
382,4320,4357,4471,picker-4
390,4380,4381,4471,picker-5
385,4380,4380,4479,picker-2
388,4380,4380,4489,picker-2
381,4320,4368,4501,picker-5
394,4440,4440,4509,picker-2
389,4380,4442,4523,picker-3
393,4440,4440,4526,picker-2
395,4440,4459,4530,picker-3
399,4500,4500,4572,picker-2
398,4500,4500,4573,picker-2
401,4560,4560,4603,picker-2
410,4680,4680,4750,picker-2
409,4680,4681,4768,picker-3
407,4680,4681,4779,picker-3
412,4740,4740,4807,picker-4
413,4740,4740,4807,picker-4
392,4440,4741,4822,picker-5
414,4740,4741,4822,picker-5
406,4620,4620,4827,picker-2
417,4800,4800,4872,picker-3
421,4860,4860,4930,picker-3
419,4860,4861,4948,picker-4
423,4860,4862,4956,picker-5
426,4920,4920,4994,picker-3
420,4860,4861,5009,picker-4
429,4920,4957,5032,picker-5
432,4920,4949,5042,picker-4
431,4920,4995,5062,picker-3
437,4980,5010,5085,picker-4
434,4980,5033,5095,picker-5
435,4980,5043,5119,picker-4
441,5040,5063,5147,picker-3
445,5040,5098,5187,picker-5
447,5100,5120,5190,picker-4
442,5040,5148,5377,picker-3
450,5100,5378,5458,picker-3
452,5160,5459,5517,picker-3
425,4860,4862,6028,picker-5
415,4800,4828,6028,picker-2
448,5100,5188,6030,picker-5
436,4980,5086,6038,picker-4
408,4680,4751,6040,picker-2
427,4920,4931,6045,picker-3
451,5100,5191,6046,picker-4
404,4560,4573,6049,picker-2
462,5280,5518,6057,picker-3
428,4920,4921,6057,picker-5
400,4560,4560,6072,picker-2
521,5880,6039,6085,picker-4
418,4860,6041,6100,picker-2
531,6000,6031,6100,picker-5
505,5760,6047,6105,picker-4
416,4800,6029,6110,picker-2
476,5460,6030,6112,picker-5
499,5700,6058,6119,picker-3
502,5760,6059,6121,picker-5
458,5220,6046,6129,picker-3
527,5940,6073,6142,picker-2
483,5520,6086,6158,picker-4
514,5820,6101,6159,picker-2
461,5280,6102,6185,picker-5
519,5880,6143,6191,picker-2
498,5700,6106,6203,picker-4
478,5460,6120,6212,picker-3
503,5760,6113,6218,picker-5
538,6120,6160,6221,picker-2
543,6120,6159,6222,picker-4
522,5880,6130,6227,picker-3
542,6120,6122,6230,picker-5
474,5460,6204,6255,picker-4
539,6120,6186,6270,picker-5
518,5880,6213,6279,picker-3
525,5940,6192,6279,picker-2
530,6000,6223,6280,picker-4
464,5280,6222,6299,picker-2
491,5640,6219,6304,picker-5
523,5940,6230,6321,picker-3
554,6240,6256,6325,picker-4
424,4860,6050,6343,picker-2
500,5700,6231,6349,picker-5
492,5640,6111,6366,picker-2
506,5760,6281,6371,picker-3
456,5220,6282,6380,picker-4
504,5760,6280,6387,picker-2
520,5880,6300,6396,picker-2
509,5820,6305,6399,picker-5
511,5820,6324,6402,picker-3
515,5880,6271,6413,picker-5
467,5340,6326,6416,picker-4
480,5460,6344,6423,picker-2
524,5940,6373,6440,picker-3
468,5340,6381,6444,picker-4
457,5220,6388,6450,picker-2
489,5640,6367,6467,picker-2
459,5220,6397,6468,picker-2
460,5220,6350,6472,picker-5
517,5880,6400,6476,picker-5
550,6240,6414,6491,picker-5
496,5700,6403,6510,picker-3
475,5460,6445,6512,picker-4
513,5820,6473,6519,picker-5
466,5340,6441,6519,picker-3
548,6240,6417,6521,picker-4
512,5820,6424,6526,picker-2
486,5580,6468,6532,picker-2
463,5280,6451,6549,picker-2
559,6300,6477,6554,picker-5
541,6120,6469,6560,picker-2
546,6180,6521,6567,picker-5
526,5940,6520,6580,picker-3
562,6360,6513,6585,picker-4
479,5460,6511,6590,picker-3
495,5640,6533,6590,picker-2
571,6540,6555,6593,picker-5
556,6300,6527,6599,picker-2
564,6480,6492,6603,picker-5
485,5580,6522,6606,picker-4
470,5340,6591,6616,picker-2
544,6120,6568,6619,picker-5
567,6480,6594,6650,picker-5
570,6540,6550,6651,picker-2
572,6540,6600,6659,picker-2
555,6240,6608,6667,picker-4
536,6060,6586,6669,picker-4
558,6300,6561,6669,picker-2
471,5400,6593,6684,picker-3
481,5520,6604,6684,picker-5
490,5640,6617,6699,picker-2
473,5400,6620,6715,picker-5
568,6480,6652,6725,picker-2
484,5580,6669,6727,picker-4
488,5640,6581,6728,picker-3
551,6240,6651,6733,picker-5
561,6360,6660,6748,picker-2
591,6660,6670,6755,picker-2
477,5460,6686,6762,picker-5
493,5640,6685,6779,picker-3
575,6600,6716,6780,picker-5
588,6660,6700,6783,picker-2
540,6120,6671,6787,picker-4
586,6660,6729,6808,picker-3
497,5700,6734,6808,picker-5
580,6600,6749,6815,picker-2
583,6660,6728,6817,picker-4
592,6720,6726,6825,picker-2
577,6600,6763,6841,picker-5
565,6480,6756,6841,picker-2
494,5640,6780,6860,picker-3
602,6780,6784,6862,picker-2
595,6780,6781,6866,picker-5
598,6780,6788,6885,picker-4
597,6780,6818,6899,picker-4
563,6420,6810,6900,picker-5
579,6600,6809,6905,picker-3
604,6780,6886,6921,picker-4
608,6840,6842,6922,picker-2
581,6600,6816,6922,picker-2
552,6240,6826,6943,picker-2
560,6300,6861,6950,picker-3
585,6660,6843,6961,picker-5
547,6240,6901,6972,picker-5
501,5760,6922,6976,picker-4
611,6900,6900,6986,picker-4
529,5940,6867,6988,picker-5
590,6660,6863,6992,picker-2
613,6900,6906,6992,picker-3
609,6840,6923,7008,picker-2
596,6780,6923,7009,picker-2
507,5760,6945,7015,picker-2
