sequence_id,order_id,order_type,item_id,item_quantity,order_arrival,assigned_station,assigned_pod,status,order_processed,order_finished
70,-71,1,362,8,0,picker-1,,-1,,
71,-71,1,31,4,0,picker-1,,-1,,
72,-70,1,148,3,0,,,-3,,
73,-70,1,21,7,0,,,-3,,
74,-70,1,332,2,0,,,-3,,
75,-69,1,312,5,0,picker-5,,-1,0.0,
76,-68,1,492,10,0,picker-4,,-1,0.0,
77,-68,1,141,1,0,picker-4,,-1,0.0,
78,-68,1,18,7,0,picker-4,,-1,0.0,
79,-67,1,18,5,0,picker-4,,-1,0.0,
80,-67,1,126,6,0,picker-4,,-1,0.0,
81,-66,1,1,8,0,picker-3,,-1,0.0,
82,-66,1,104,2,0,picker-3,,-1,0.0,
83,-66,1,273,8,0,picker-3,,-1,0.0,
84,-66,1,120,12,0,picker-3,,-1,0.0,
85,-65,1,31,10,0,picker-1,,-1,,
86,-65,1,30,4,0,picker-1,,-1,,
87,-65,1,325,6,0,picker-1,,-1,,
88,-65,1,0,8,0,picker-1,,-1,,
89,-64,1,165,8,0,,,-3,,
90,-64,1,7,8,0,,,-3,,
91,-63,1,340,10,0,picker-5,,-1,0.0,
92,-62,1,149,2,0,picker-5,,-1,0.0,
93,-62,1,57,8,0,picker-5,,-1,0.0,
94,-61,1,180,7,0,,,-3,,
95,-61,1,34,6,0,,,-3,,
96,-60,1,89,2,0,,,-3,,
97,-59,1,0,4,0,picker-2,,-1,0.0,
98,-58,1,166,6,0,,,-3,,
99,-57,1,365,9,0,picker-5,,-1,0.0,
100,-56,1,32,6,0,,,-3,,
101,-56,1,88,9,0,,,-3,,
102,-55,1,4,10,0,picker-1,,-1,0.0,
103,-54,1,166,6,0,,,-3,,
104,-53,1,327,10,0,,,-3,,
105,-53,1,8,4,0,,,-3,,
106,-53,1,63,8,0,,,-3,,
107,-52,1,93,4,0,,,-3,,
108,-51,1,282,12,0,,,-3,,
109,-50,1,451,5,0,,,-3,,
110,-49,1,17,6,0,,,-3,,
111,-48,1,4,6,0,picker-1,,-1,0.0,
112,-47,1,257,7,0,,,-3,,
113,-47,1,8,9,0,,,-3,,
114,-47,1,72,5,0,,,-3,,
115,-47,1,136,8,0,,,-3,,
116,-46,1,28,6,0,,,-3,,
117,-45,1,151,8,0,picker-2,,-1,,
118,-45,1,10,9,0,picker-2,,-1,,
119,-44,1,3,8,0,picker-2,,-1,,
120,-44,1,375,11,0,picker-2,,-1,,
121,-43,1,24,7,0,,,-3,,
122,-42,1,291,6,0,,,-3,,
123,-41,1,89,4,0,,,-3,,
124,-40,1,19,4,0,,,-3,,
125,-40,1,211,10,0,,,-3,,
126,-39,1,128,7,0,,,-3,,
127,-38,1,3,8,0,picker-3,,-1,,
128,-37,1,2,4,0,,,-3,,
129,-37,1,140,10,0,,,-3,,
130,-36,1,23,3,0,picker-1,,-1,,
131,-36,1,60,2,0,picker-1,,-1,,
132,-36,1,0,9,0,picker-1,,-1,,
133,-36,1,36,8,0,picker-1,,-1,,
134,-36,1,125,2,0,picker-1,,-1,,
135,-36,1,439,4,0,picker-1,,-1,,
136,-35,1,366,4,0,,,-3,,
137,-34,1,31,3,0,picker-1,,-1,,
138,-33,1,4,8,0,picker-1,,-1,0.0,
139,-32,1,70,7,0,,,-3,,
140,-32,1,158,11,0,,,-3,,
141,-31,1,28,9,0,picker-3,,-1,,
142,-31,1,53,8,0,picker-3,,-1,,
143,-31,1,181,2,0,picker-3,,-1,,
144,-31,1,32,4,0,picker-3,,-1,,
145,-31,1,3,12,0,picker-3,,-1,,
146,-30,1,3,7,0,picker-3,,-1,0.0,
147,-30,1,1,2,0,picker-3,,-1,0.0,
148,-29,1,313,6,0,,,-3,,
149,-28,1,436,8,0,,,-3,,
150,-28,1,3,1,0,,,-3,,
151,-27,1,122,9,0,,,-3,,
152,-27,1,476,8,0,,,-3,,
153,-27,1,488,8,0,,,-3,,
154,-26,1,86,2,0,,,-3,,
155,-26,1,13,10,0,,,-3,,
156,-25,1,9,4,0,,,-3,,
157,-24,1,17,11,0,,,-3,,
158,-24,1,65,5,0,,,-3,,
159,-24,1,4,6,0,,,-3,,
160,-24,1,11,9,0,,,-3,,
161,-23,1,64,8,0,,,-3,,
162,-23,1,7,8,0,,,-3,,
163,-22,1,347,10,0,picker-4,,-1,,
164,-21,1,250,6,0,,,-3,,
165,-20,1,485,6,0,,,-3,,
166,-20,1,45,3,0,,,-3,,
167,-20,1,9,3,0,,,-3,,
168,-19,1,0,8,0,picker-2,,-1,0.0,
169,-18,1,367,10,0,,,-3,,
170,-18,1,14,4,0,,,-3,,
171,-18,1,430,1,0,,,-3,,
172,-18,1,145,2,0,,,-3,,
173,-18,1,10,7,0,,,-3,,
174,-18,1,42,10,0,,,-3,,
175,-17,1,1,4,0,picker-3,,-1,0.0,
176,-17,1,233,12,0,picker-3,,-1,0.0,
177,-16,1,5,12,0,,,-3,,
178,-16,1,251,10,0,,,-3,,
179,-15,1,2,8,0,,,-3,,
180,-15,1,10,5,0,,,-3,,
181,-15,1,158,6,0,,,-3,,
182,-14,1,107,10,0,,,-3,,
183,-14,1,449,6,0,,,-3,,
184,-14,1,162,5,0,,,-3,,
185,-13,1,0,11,0,picker-2,,-1,0.0,
186,-12,1,122,1,0,picker-2,,-1,0.0,
187,-12,1,0,12,0,picker-2,,-1,0.0,
188,-11,1,101,7,0,,,-3,,
189,-11,1,203,4,0,,,-3,,
190,-10,1,38,9,0,,,-3,,
191,-10,1,21,2,0,,,-3,,
192,-9,1,72,1,0,,,-3,,
193,-9,1,13,10,0,,,-3,,
194,-8,1,61,9,0,,,-3,,
195,-8,1,128,10,0,,,-3,,
196,-7,1,6,6,0,picker-3,,-1,,
197,-6,1,157,10,0,picker-4,,-1,0.0,
198,-6,1,167,5,0,picker-4,,-1,0.0,
199,-6,1,18,8,0,picker-4,,-1,0.0,
200,-5,1,45,6,0,,,-3,,
201,-5,1,195,6,0,,,-3,,
202,-5,1,15,9,0,,,-3,,
203,-4,1,148,7,0,,,-3,,
204,-4,1,318,6,0,,,-3,,
205,-3,1,14,7,0,,,-3,,
206,-3,1,13,11,0,,,-3,,
207,-3,1,34,3,0,,,-3,,
208,-3,1,223,2,0,,,-3,,
209,-3,1,189,4,0,,,-3,,
210,-2,1,28,6,0,,,-3,,
211,-2,1,454,4,0,,,-3,,
212,-1,1,219,4,0,picker-4,,-1,0.0,
213,-1,1,18,7,0,picker-4,,-1,0.0,
214,0,1,285,6,60,,,-3,,
215,0,1,0,6,60,,,-3,,
216,0,1,3,12,60,,,-3,,
217,1,1,126,2,60,,,-3,,
218,1,1,15,12,60,,,-3,,
219,1,1,0,11,60,,,-3,,
220,2,1,67,2,60,,,-3,,
221,2,1,108,5,60,,,-3,,
222,2,1,36,12,60,,,-3,,
223,2,1,19,6,60,,,-3,,
224,3,1,34,5,60,,,-3,,
225,4,1,100,11,120,,,-3,,
226,4,1,187,9,120,,,-3,,
227,4,1,62,8,120,,,-3,,
228,4,1,154,10,120,,,-3,,
229,5,1,33,8,180,,,-3,,
230,5,1,99,9,180,,,-3,,
231,5,1,0,4,180,,,-3,,
232,6,1,75,8,180,,,-3,,
233,7,1,86,10,180,,,-3,,
234,7,1,200,10,180,,,-3,,
235,7,1,273,2,180,,,-3,,
236,8,1,49,3,180,,,-3,,
237,8,1,13,4,180,,,-3,,
238,9,1,26,7,180,,,-3,,
239,9,1,239,4,180,,,-3,,
240,10,1,98,8,180,,,-3,,
241,11,1,60,9,240,,,-3,,
242,12,1,250,8,240,,,-3,,
243,12,1,16,1,240,,,-3,,
244,13,1,43,5,300,,,-3,,
245,14,1,74,8,300,,,-3,,
246,14,1,181,12,300,,,-3,,
247,14,1,59,6,300,,,-3,,
248,15,1,272,6,300,,,-3,,
249,15,1,76,12,300,,,-3,,
250,16,1,196,7,360,,,-3,,
251,17,1,142,6,360,,,-3,,
252,18,1,48,8,360,,,-3,,
253,18,1,86,12,360,,,-3,,
254,18,1,153,3,360,,,-3,,
255,18,1,1,7,360,,,-3,,
256,19,1,3,4,360,,,-3,,
257,19,1,132,6,360,,,-3,,
258,19,1,0,4,360,,,-3,,
259,19,1,201,4,360,,,-3,,
260,19,1,5,10,360,,,-3,,
261,19,1,11,10,360,,,-3,,
262,20,1,443,10,360,,,-3,,
263,20,1,290,5,360,,,-3,,
264,20,1,3,6,360,,,-3,,
265,21,1,26,8,360,,,-3,,
266,22,1,0,8,360,,,-3,,
267,23,1,402,8,360,,,-3,,
268,23,1,0,6,360,,,-3,,
269,23,1,206,6,360,,,-3,,
270,24,1,97,11,420,,,-3,,
271,24,1,2,3,420,,,-3,,
272,24,1,49,8,420,,,-3,,
273,25,1,13,4,420,,,-3,,
274,25,1,7,12,420,,,-3,,
275,25,1,61,6,420,,,-3,,
276,25,1,16,3,420,,,-3,,
277,25,1,314,12,420,,,-3,,
278,25,1,191,9,420,,,-3,,
279,26,1,302,4,420,,,-3,,
280,27,1,5,11,420,,,-3,,
281,28,1,142,4,420,,,-3,,
282,28,1,285,9,420,,,-3,,
283,29,1,79,9,420,,,-3,,
284,29,1,26,2,420,,,-3,,
285,29,1,39,8,420,,,-3,,
286,30,1,170,8,480,,,-3,,
287,31,1,46,7,480,,,-3,,
288,32,1,31,10,480,,,-3,,
289,33,1,144,12,480,,,-3,,
290,34,1,18,6,480,,,-3,,
291,35,1,235,6,480,,,-3,,
292,35,1,37,7,480,,,-3,,
293,35,1,8,11,480,,,-3,,
294,36,1,2,8,480,,,-3,,
295,37,1,89,10,480,,,-3,,
296,38,1,7,4,540,,,-3,,
297,39,1,28,7,540,,,-3,,
298,40,1,462,5,540,,,-3,,
299,41,1,7,8,540,,,-3,,
300,42,1,86,6,540,,,-3,,
301,42,1,22,6,540,,,-3,,
302,42,1,32,11,540,,,-3,,
303,42,1,268,9,540,,,-3,,
304,42,1,228,1,540,,,-3,,
305,43,1,250,10,540,,,-3,,
306,43,1,1,3,540,,,-3,,
307,44,1,24,5,540,,,-3,,
308,45,1,7,4,540,,,-3,,
309,46,1,170,5,600,,,-3,,
310,46,1,18,6,600,,,-3,,
311,46,1,0,6,600,,,-3,,
312,47,1,40,10,600,,,-3,,
313,47,1,18,3,600,,,-3,,
314,48,1,131,10,600,,,-3,,
315,49,1,309,8,600,,,-3,,
316,49,1,2,2,600,,,-3,,
317,49,1,6,8,600,,,-3,,
318,50,1,9,5,660,,,-3,,
319,51,1,168,1,660,,,-3,,
320,51,1,213,6,660,,,-3,,
321,52,1,70,6,660,,,-3,,
322,53,1,125,7,660,,,-3,,
323,53,1,9,8,660,,,-3,,
324,54,1,102,11,660,,,-3,,
325,54,1,34,6,660,,,-3,,
326,55,1,417,2,660,,,-3,,
327,56,1,162,6,660,,,-3,,
328,57,1,65,6,660,,,-3,,
329,58,1,17,5,660,,,-3,,
330,59,1,284,4,660,,,-3,,
331,59,1,43,8,660,,,-3,,
332,59,1,36,6,660,,,-3,,
333,60,1,209,2,720,,,-3,,
334,60,1,291,1,720,,,-3,,
335,60,1,244,2,720,,,-3,,
336,61,1,18,9,720,,,-3,,
337,61,1,168,6,720,,,-3,,
338,62,1,175,5,720,,,-3,,
339,63,1,484,5,720,,,-3,,
340,64,1,313,7,780,,,-3,,
341,64,1,185,8,780,,,-3,,
342,65,1,33,5,780,,,-3,,
343,65,1,55,12,780,,,-3,,
344,65,1,51,9,780,,,-3,,
345,66,1,349,5,780,,,-3,,
346,66,1,90,10,780,,,-3,,
347,66,1,363,8,780,,,-3,,
348,67,1,9,3,780,,,-3,,
349,68,1,45,5,780,,,-3,,
350,68,1,34,9,780,,,-3,,
351,69,1,79,6,780,,,-3,,
352,70,1,247,5,780,,,-3,,
353,71,1,182,4,840,,,-3,,
354,71,1,298,6,840,,,-3,,
355,71,1,48,8,840,,,-3,,
356,72,1,42,10,840,,,-3,,
357,73,1,2,10,840,,,-3,,
358,73,1,260,9,840,,,-3,,
359,73,1,119,6,840,,,-3,,
360,73,1,145,4,840,,,-3,,
361,73,1,19,5,840,,,-3,,
362,73,1,302,8,840,,,-3,,
363,73,1,179,5,840,,,-3,,
364,73,1,289,3,840,,,-3,,
365,73,1,326,10,840,,,-3,,
366,73,1,97,9,840,,,-3,,
367,74,1,13,8,840,,,-3,,
368,74,1,10,5,840,,,-3,,
369,74,1,16,8,840,,,-3,,
370,74,1,27,5,840,,,-3,,
371,74,1,129,8,840,,,-3,,
372,75,1,372,11,840,,,-3,,
373,76,1,12,5,840,,,-3,,
374,76,1,482,3,840,,,-3,,
375,77,1,28,12,840,,,-3,,
376,77,1,10,4,840,,,-3,,
377,78,1,43,9,840,,,-3,,
378,78,1,23,1,840,,,-3,,
379,79,1,436,8,840,,,-3,,
380,79,1,47,10,840,,,-3,,
381,80,1,350,6,900,,,-3,,
382,81,1,0,6,900,,,-3,,
383,81,1,341,6,900,,,-3,,
384,82,1,177,9,900,,,-3,,
385,83,1,21,8,900,,,-3,,
386,84,1,101,8,900,,,-3,,
387,84,1,20,4,900,,,-3,,
388,84,1,106,4,900,,,-3,,
389,85,1,168,9,900,,,-3,,
390,86,1,225,7,900,,,-3,,
391,86,1,177,6,900,,,-3,,
392,87,1,6,4,900,,,-3,,
393,88,1,4,2,960,,,-3,,
394,88,1,40,6,960,,,-3,,
395,89,1,197,4,960,,,-3,,
396,90,1,205,7,960,,,-3,,
397,91,1,257,1,960,,,-3,,
398,92,1,173,11,1020,,,-3,,
399,93,1,208,12,1020,,,-3,,
400,93,1,65,3,1020,,,-3,,
401,93,1,418,4,1020,,,-3,,
402,93,1,444,1,1020,,,-3,,
403,94,1,11,5,1020,,,-3,,
404,94,1,198,10,1020,,,-3,,
405,95,1,17,10,1020,,,-3,,
406,96,1,11,8,1020,,,-3,,
407,97,1,9,8,1020,,,-3,,
408,97,1,14,10,1020,,,-3,,
409,97,1,36,6,1020,,,-3,,
410,98,1,117,6,1020,,,-3,,
411,98,1,71,5,1020,,,-3,,
412,99,1,46,10,1080,,,-3,,
413,99,1,3,8,1080,,,-3,,
414,99,1,30,7,1080,,,-3,,
415,99,1,384,2,1080,,,-3,,
416,99,1,36,5,1080,,,-3,,
417,99,1,23,11,1080,,,-3,,
418,99,1,31,4,1080,,,-3,,
419,100,1,123,2,1080,,,-3,,
420,100,1,315,8,1080,,,-3,,
421,100,1,197,8,1080,,,-3,,
422,101,1,117,7,1080,,,-3,,
423,101,1,442,5,1080,,,-3,,
424,101,1,63,8,1080,,,-3,,
425,102,1,448,5,1080,,,-3,,
426,102,1,110,1,1080,,,-3,,
427,102,1,1,10,1080,,,-3,,
428,103,1,152,10,1080,,,-3,,
429,103,1,151,2,1080,,,-3,,
430,104,1,110,12,1080,,,-3,,
431,104,1,66,4,1080,,,-3,,
432,104,1,31,5,1080,,,-3,,
433,105,1,14,8,1080,,,-3,,
434,106,1,153,4,1080,,,-3,,
435,107,1,30,6,1140,,,-3,,
436,107,1,129,6,1140,,,-3,,
437,108,1,1,10,1140,,,-3,,
438,109,1,16,7,1140,,,-3,,
439,109,1,325,2,1140,,,-3,,
440,109,1,49,6,1140,,,-3,,
441,109,1,162,8,1140,,,-3,,
442,110,1,135,5,1200,,,-3,,
443,111,1,479,5,1200,,,-3,,
444,111,1,38,8,1200,,,-3,,
445,111,1,324,10,1200,,,-3,,
446,111,1,13,8,1200,,,-3,,
447,111,1,161,6,1200,,,-3,,
448,112,1,41,7,1200,,,-3,,
449,112,1,209,6,1200,,,-3,,
450,112,1,23,10,1200,,,-3,,
451,113,1,15,10,1260,,,-3,,
452,114,1,134,10,1260,,,-3,,
453,115,1,4,4,1260,,,-3,,
454,116,1,99,4,1260,,,-3,,
455,116,1,18,4,1260,,,-3,,
456,116,1,5,12,1260,,,-3,,
457,116,1,7,2,1260,,,-3,,
458,117,1,234,1,1320,,,-3,,
459,118,1,358,3,1320,,,-3,,
460,119,1,40,2,1380,,,-3,,
461,120,1,104,8,1380,,,-3,,
462,121,1,116,8,1440,,,-3,,
463,122,1,18,2,1500,,,-3,,
464,122,1,172,9,1500,,,-3,,
465,122,1,95,11,1500,,,-3,,
466,122,1,199,3,1500,,,-3,,
467,123,1,465,2,1500,,,-3,,
468,123,1,31,4,1500,,,-3,,
469,123,1,143,10,1500,,,-3,,
470,124,1,69,3,1560,,,-3,,
471,125,1,1,8,1560,,,-3,,
472,126,1,265,6,1560,,,-3,,
473,126,1,12,10,1560,,,-3,,
474,126,1,24,3,1560,,,-3,,
475,127,1,243,4,1560,,,-3,,
476,128,1,5,4,1620,,,-3,,
477,129,1,25,10,1620,,,-3,,
478,130,1,17,8,1620,,,-3,,
479,131,1,292,1,1620,,,-3,,
480,132,1,167,3,1680,,,-3,,
481,132,1,131,10,1680,,,-3,,
482,133,1,169,3,1680,,,-3,,
483,133,1,31,11,1680,,,-3,,
484,133,1,111,7,1680,,,-3,,
485,134,1,4,1,1680,,,-3,,
486,134,1,1,8,1680,,,-3,,
487,135,1,0,7,1680,,,-3,,
488,135,1,389,4,1680,,,-3,,
489,135,1,205,7,1680,,,-3,,
490,136,1,38,10,1680,,,-3,,
491,137,1,27,8,1680,,,-3,,
492,138,1,499,2,1680,,,-3,,
493,138,1,2,9,1680,,,-3,,
494,139,1,170,2,1740,,,-3,,
495,139,1,19,3,1740,,,-3,,
496,140,1,112,3,1740,,,-3,,
497,141,1,71,1,1740,,,-3,,
498,142,1,114,4,1740,,,-3,,
499,142,1,234,8,1740,,,-3,,
500,143,1,186,2,1740,,,-3,,
501,143,1,22,8,1740,,,-3,,
502,144,1,4,8,1740,,,-3,,
503,144,1,36,6,1740,,,-3,,
504,145,1,6,10,1740,,,-3,,
505,145,1,12,10,1740,,,-3,,
506,145,1,143,9,1740,,,-3,,
507,146,1,326,6,1740,,,-3,,
508,146,1,68,4,1740,,,-3,,
509,147,1,65,4,1740,,,-3,,
510,147,1,47,8,1740,,,-3,,
511,148,1,49,2,1800,,,-3,,
512,149,1,19,9,1800,,,-3,,
513,149,1,5,6,1800,,,-3,,
514,150,1,3,6,1800,,,-3,,
515,150,1,81,8,1800,,,-3,,
516,151,1,12,4,1800,,,-3,,
517,151,1,2,10,1800,,,-3,,
518,151,1,173,10,1800,,,-3,,
519,152,1,54,6,1860,,,-3,,
520,152,1,28,12,1860,,,-3,,
521,152,1,24,10,1860,,,-3,,
522,152,1,141,5,1860,,,-3,,
523,153,1,34,12,1860,,,-3,,
524,154,1,212,5,1860,,,-3,,
525,154,1,403,9,1860,,,-3,,
526,155,1,354,5,1860,,,-3,,
527,156,1,320,8,1860,,,-3,,
528,157,1,39,5,1920,,,-3,,
529,158,1,83,7,1920,,,-3,,
530,158,1,408,6,1920,,,-3,,
531,158,1,151,7,1920,,,-3,,
532,158,1,14,4,1920,,,-3,,
533,159,1,104,12,1920,,,-3,,
534,159,1,147,4,1920,,,-3,,
535,160,1,135,6,1980,,,-3,,
536,161,1,22,7,1980,,,-3,,
537,161,1,88,2,1980,,,-3,,
538,161,1,87,3,1980,,,-3,,
539,161,1,339,2,1980,,,-3,,
540,162,1,315,12,2040,,,-3,,
541,163,1,18,9,2040,,,-3,,
542,164,1,11,7,2040,,,-3,,
543,165,1,25,7,2100,,,-3,,
544,166,1,82,5,2100,,,-3,,
545,166,1,45,6,2100,,,-3,,
546,167,1,297,4,2100,,,-3,,
547,168,1,30,2,2100,,,-3,,
548,169,1,453,9,2100,,,-3,,
549,169,1,166,6,2100,,,-3,,
550,169,1,84,8,2100,,,-3,,
551,170,1,25,7,2100,,,-3,,
552,170,1,36,4,2100,,,-3,,
553,170,1,1,3,2100,,,-3,,
554,170,1,33,9,2100,,,-3,,
555,170,1,30,1,2100,,,-3,,
556,171,1,2,6,2100,,,-3,,
557,172,1,422,8,2100,,,-3,,
558,173,1,44,8,2160,,,-3,,
559,173,1,108,6,2160,,,-3,,
560,174,1,86,8,2160,,,-3,,
561,174,1,2,9,2160,,,-3,,
562,174,1,8,4,2160,,,-3,,
563,175,1,62,5,2220,,,-3,,
564,175,1,145,6,2220,,,-3,,
565,176,1,13,12,2220,,,-3,,
566,176,1,36,1,2220,,,-3,,
567,176,1,357,4,2220,,,-3,,
568,176,1,33,2,2220,,,-3,,
569,176,1,118,3,2220,,,-3,,
570,176,1,177,5,2220,,,-3,,
571,176,1,71,8,2220,,,-3,,
572,176,1,39,8,2220,,,-3,,
573,177,1,202,6,2280,,,-3,,
574,177,1,30,8,2280,,,-3,,
575,177,1,33,12,2280,,,-3,,
576,178,1,11,7,2280,,,-3,,
577,178,1,474,6,2280,,,-3,,
578,178,1,151,4,2280,,,-3,,
579,178,1,443,9,2280,,,-3,,
580,178,1,70,9,2280,,,-3,,
581,179,1,58,3,2280,,,-3,,
582,180,1,133,4,2280,,,-3,,
583,180,1,1,7,2280,,,-3,,
584,181,1,93,3,2280,,,-3,,
585,181,1,105,5,2280,,,-3,,
586,181,1,17,6,2280,,,-3,,
587,181,1,139,8,2280,,,-3,,
588,181,1,0,2,2280,,,-3,,
589,181,1,9,6,2280,,,-3,,
590,182,1,148,6,2280,,,-3,,
591,182,1,78,5,2280,,,-3,,
592,182,1,179,12,2280,,,-3,,
593,182,1,86,8,2280,,,-3,,
594,183,1,6,8,2280,,,-3,,
595,184,1,339,7,2340,,,-3,,
596,184,1,100,8,2340,,,-3,,
597,185,1,41,6,2340,,,-3,,
598,185,1,162,7,2340,,,-3,,
599,186,1,13,10,2340,,,-3,,
600,186,1,273,8,2340,,,-3,,
601,186,1,241,2,2340,,,-3,,
602,187,1,155,5,2340,,,-3,,
603,187,1,12,6,2340,,,-3,,
604,187,1,4,2,2340,,,-3,,
605,187,1,158,7,2340,,,-3,,
606,187,1,122,5,2340,,,-3,,
607,187,1,153,2,2340,,,-3,,
608,187,1,136,5,2340,,,-3,,
609,188,1,50,4,2340,,,-3,,
610,189,1,42,5,2400,,,-3,,
611,189,1,423,10,2400,,,-3,,
612,189,1,30,10,2400,,,-3,,
613,190,1,120,8,2400,,,-3,,
614,190,1,53,6,2400,,,-3,,
615,190,1,434,4,2400,,,-3,,
616,190,1,128,5,2400,,,-3,,
617,191,1,350,6,2400,,,-3,,
618,191,1,45,5,2400,,,-3,,
619,191,1,1,8,2400,,,-3,,
620,192,1,92,10,2400,,,-3,,
621,192,1,143,8,2400,,,-3,,
622,192,1,67,2,2400,,,-3,,
623,193,1,355,4,2400,,,-3,,
624,194,1,189,6,2400,,,-3,,
625,194,1,27,9,2400,,,-3,,
626,195,1,49,2,2400,,,-3,,
627,195,1,209,8,2400,,,-3,,
628,196,1,361,2,2460,,,-3,,
629,197,1,17,3,2460,,,-3,,
630,197,1,114,4,2460,,,-3,,
631,197,1,250,8,2460,,,-3,,
632,198,1,112,2,2460,,,-3,,
633,198,1,46,4,2460,,,-3,,
634,199,1,482,6,2460,,,-3,,
635,199,1,345,3,2460,,,-3,,
636,199,1,0,4,2460,,,-3,,
637,200,1,1,5,2460,,,-3,,
638,200,1,11,5,2460,,,-3,,
639,201,1,66,10,2460,,,-3,,
640,201,1,17,5,2460,,,-3,,
641,201,1,3,11,2460,,,-3,,
642,201,1,130,9,2460,,,-3,,
643,202,1,30,3,2520,,,-3,,
644,202,1,437,8,2520,,,-3,,
645,203,1,8,8,2520,,,-3,,
646,203,1,469,6,2520,,,-3,,
647,204,1,55,4,2520,,,-3,,
648,204,1,144,7,2520,,,-3,,
649,204,1,470,7,2520,,,-3,,
650,204,1,379,3,2520,,,-3,,
651,205,1,159,5,2520,,,-3,,
652,206,1,28,8,2580,,,-3,,
653,206,1,38,2,2580,,,-3,,
654,207,1,10,7,2580,,,-3,,
655,208,1,2,6,2580,,,-3,,
656,209,1,0,4,2580,,,-3,,
657,209,1,314,8,2580,,,-3,,
658,209,1,28,10,2580,,,-3,,
659,210,1,100,5,2580,,,-3,,
660,211,1,131,1,2580,,,-3,,
661,212,1,49,8,2580,,,-3,,
662,212,1,133,8,2580,,,-3,,
663,213,1,10,10,2580,,,-3,,
664,214,1,117,2,2640,,,-3,,
665,214,1,48,7,2640,,,-3,,
666,214,1,4,7,2640,,,-3,,
667,214,1,351,10,2640,,,-3,,
668,214,1,40,8,2640,,,-3,,
669,215,1,126,3,2640,,,-3,,
670,215,1,5,10,2640,,,-3,,
671,216,1,12,12,2640,,,-3,,
672,216,1,32,8,2640,,,-3,,
673,216,1,37,6,2640,,,-3,,
674,217,1,315,8,2640,,,-3,,
675,217,1,90,8,2640,,,-3,,
676,218,1,5,10,2640,,,-3,,
677,218,1,475,8,2640,,,-3,,
678,218,1,63,3,2640,,,-3,,
679,219,1,70,10,2640,,,-3,,
680,219,1,6,6,2640,,,-3,,
681,220,1,140,7,2640,,,-3,,
682,220,1,71,7,2640,,,-3,,
